====================================================================================================
DRAUGHTS ABLATION (ZONE ONLY) - MOVE LOG
Started: 2026-02-07 17:36:42
====================================================================================================

[Game   3] [Move  13] Player: P1   (MCVS) | Sims:    33 | Time:  1.502s | Move: (5, 0, 4, 1)
[Game   3] [Move  14] Player: P2   (UCT ) | Sims:   672 | Time:  1.505s | Move: (1, 0, 2, 1)
[Game   3] [Move  15] Player: P1   (MCVS) | Sims:    33 | Time:  1.514s | Move: (5, 2, 4, 3)
[Game   3] [Move  16] Player: P2   (UCT ) | Sims:   700 | Time:  1.506s | Move: (3, 0, 5, 2)
[Game   3] [Move  17] Player: P1   (MCVS) | Sims:    34 | Time:  1.524s | Move: (6, 3, 4, 1)
[Game   3] [Move  18] Player: P2   (UCT ) | Sims:   694 | Time:  1.504s | Move: (0, 1, 1, 0)
[Game   3] [Move  19] Player: P1   (MCVS) | Sims:    33 | Time:  1.510s | Move: (6, 1, 5, 2)
[Game   3] [Move  20] Player: P2   (UCT ) | Sims:   694 | Time:  1.506s | Move: (0, 3, 1, 2)
[Game   3] [Move  21] Player: P1   (MCVS) | Sims:    33 | Time:  1.502s | Move: (7, 4, 6, 5)
[Game   3] [Move  22] Player: P2   (UCT ) | Sims:   678 | Time:  1.504s | Move: (1, 4, 2, 5)
[Game   3] [Move  23] Player: P1   (MCVS) | Sims:    34 | Time:  1.519s | Move: (4, 1, 3, 0)
[Game   3] [Move  24] Player: P2   (UCT ) | Sims:   704 | Time:  1.500s | Move: (2, 3, 3, 4)
[Game   3] [Move  25] Player: P1   (MCVS) | Sims:    32 | Time:  1.500s | Move: (5, 2, 4, 1)
[Game   3] [Move  26] Player: P2   (UCT ) | Sims:   770 | Time:  1.513s | Move: (3, 4, 5, 2)
[Game   3] [Move  27] Player: P1   (MCVS) | Sims:    34 | Time:  1.507s | Move: (7, 2, 6, 3)
[Game   3] [Move  28] Player: P2   (UCT ) | Sims:   872 | Time:  1.505s | Move: (5, 2, 7, 4)
[Game   3] [Move  29] Player: P1   (MCVS) | Sims:    34 | Time:  1.527s | Move: (6, 5, 5, 4)
[Game   3] [Move  30] Player: P2   (UCT ) | Sims:   722 | Time:  1.500s | Move: (2, 5, 3, 4)
[Game   3] [Move  31] Player: P1   (MCVS) | Sims:    34 | Time:  1.538s | Move: (4, 1, 3, 2)
[Game   3] [Move  32] Player: P2   (UCT ) | Sims:   690 | Time:  1.501s | Move: (2, 1, 4, 3)
[Game   3] [Move  33] Player: P1   (MCVS) | Sims:    34 | Time:  1.505s | Move: (5, 4, 3, 2)
[Game   3] [Move  34] Player: P2   (UCT ) | Sims:   742 | Time:  1.508s | Move: (3, 4, 4, 3)
[Game   3] [Move  35] Player: P1   (MCVS) | Sims:    34 | Time:  1.527s | Move: (3, 2, 2, 1)
[Game   3] [Move  36] Player: P2   (UCT ) | Sims:   956 | Time:  1.513s | Move: (1, 0, 3, 2)
[Game   3] [Move  37] Player: P1   (MCVS) | Sims:    34 | Time:  1.532s | Move: (5, 6, 4, 7)
[Game   3] [Move  38] Player: P2   (UCT ) | Sims:   966 | Time:  1.515s | Move: (1, 2, 2, 1)
[Game   3] [Move  39] Player: P1   (MCVS) | Sims:    34 | Time:  1.539s | Move: (3, 0, 1, 2)
[Game   3] [Move  40] Player: P2   (UCT ) | Sims:   754 | Time:  1.508s | Move: (4, 3, 5, 4)
[Game   3] [Move  41] Player: P1   (MCVS) | Sims:    33 | Time:  1.509s | Move: (1, 2, 0, 3)
[Game   3] [Move  42] Player: P2   (UCT ) | Sims:   778 | Time:  1.508s | Move: (7, 4, 6, 5)
[Game   3] [Move  43] Player: P1   (MCVS) | Sims:    33 | Time:  1.544s | Move: (4, 7, 3, 6)
[Game   3] [Move  44] Player: P2   (UCT ) | Sims:   772 | Time:  1.501s | Move: (5, 4, 6, 3)
[Game   3] [Move  45] Player: P1   (MCVS) | Sims:    34 | Time:  1.509s | Move: (7, 6, 5, 4)
