Starting 200-game Draughts ablation tournament (Zone-Guided MCVS vs standard UCT)
Game 119/200 | UCT        (moves= 44) | MCVS wins:  29 | Draws:  12 | Zone DB size: 3,075 | ETA: 172.4 min
Game 120/200 | UCT        (moves= 73) | MCVS wins:  29 | Draws:  12 | Zone DB size: 3,099 | ETA: 170.2 min
Game 121/200 | UCT        (moves= 50) | MCVS wins:  29 | Draws:  12 | Zone DB size: 3,114 | ETA: 167.5 min
Game 122/200 | UCT        (moves= 43) | MCVS wins:  29 | Draws:  12 | Zone DB size: 3,124 | ETA: 164.8 min
Game 123/200 | MCVS       (moves=127) | MCVS wins:  30 | Draws:  12 | Zone DB size: 3,164 | ETA: 163.4 min
Game 124/200 | UCT        (moves= 55) | MCVS wins:  30 | Draws:  12 | Zone DB size: 3,187 | ETA: 160.9 min
Game 125/200 | UCT        (moves= 52) | MCVS wins:  30 | Draws:  12 | Zone DB size: 3,201 | ETA: 158.3 min
Game 126/200 | UCT        (moves= 79) | MCVS wins:  30 | Draws:  12 | Zone DB size: 3,227 | ETA: 156.2 min
Game 127/200 | UCT        (moves=100) | MCVS wins:  30 | Draws:  12 | Zone DB size: 3,255 | ETA: 154.3 min
Game 128/200 | Draw       (moves=150) | MCVS wins:  30 | Draws:  13 | Zone DB size: 3,302 | ETA: 153.2 min
Game 129/200 | UCT        (moves= 60) | MCVS wins:  30 | Draws:  13 | Zone DB size: 3,320 | ETA: 150.8 min
Game 130/200 | UCT        (moves= 77) | MCVS wins:  30 | Draws:  13 | Zone DB size: 3,349 | ETA: 148.6 min
Game 131/200 | UCT        (moves=100) | MCVS wins:  30 | Draws:  13 | Zone DB size: 3,378 | ETA: 146.8 min
Game 132/200 | UCT        (moves= 45) | MCVS wins:  30 | Draws:  13 | Zone DB size: 3,393 | ETA: 144.2 min
Game 133/200 | UCT        (moves= 50) | MCVS wins:  30 | Draws:  13 | Zone DB size: 3,409 | ETA: 141.6 min
Game 134/200 | UCT        (moves=107) | MCVS wins:  30 | Draws:  13 | Zone DB size: 3,449 | ETA: 139.9 min
Game 135/200 | MCVS       (moves= 81) | MCVS wins:  31 | Draws:  13 | Zone DB size: 3,474 | ETA: 137.7 min
Game 136/200 | MCVS       (moves= 74) | MCVS wins:  32 | Draws:  13 | Zone DB size: 3,498 | ETA: 135.5 min
Game 137/200 | UCT        (moves= 82) | MCVS wins:  32 | Draws:  13 | Zone DB size: 3,522 | ETA: 133.4 min
